id	X0	X1	X2	I1	I2	I3	I4	I5	trueclass
135	1	-0.6	-1.1	2	2	2	1	1	2
136	1	1.3	-1.6	2	2	2	2	1	2
137	1	-1	0.5	2	2	2	2	1	1
138	1	-1.8	0.1	2	2	2	1	1	2
139	1	0.1	-1.4	2	2	2	2	1	2
140	1	2.3	1.5	2	2	2	1	1	2
141	1	1.1	-0.4	2	2	2	2	2	1
142	1	-0.3	0.1	1	2	2	1	1	2
143	1	-1	-2.4	2	2	2	1	1	2
144	1	1.4	1	1	2	1	1	1	3
145	1	0.4	0.1	1	1	1	1	1	3
146	1	-0.4	0.2	1	1	1	1	1	3
147	1	-0.1	-1.1	2	2	1	1	1	2
148	1	-0.1	-0.9	2	2	2	1	1	2
149	1	-0.6	-0.7	1	1	2	1	1	3
150	1	-0.1	0.7	1	1	2	1	1	3
151	1	0.3	0.8	1	2	2	2	1	1
152	1	-0.5	0	1	2	1	1	1	3
153	1	0	0.9	2	2	2	1	1	2
154	1	0.1	-0.6	1	1	1	1	1	3
155	1	-0.1	0.3	2	2	1	2	2	1
156	1	0.3	1.2	2	1	2	1	1	2
157	1	-2.5	-0.8	2	2	2	2	2	1
158	1	0.4	0.4	1	2	2	1	1	2
159	1	0.9	1.4	1	1	1	1	1	3
160	1	0.3	-1.4	2	2	2	2	1	1
161	1	0.7	0.3	2	2	2	1	1	2
162	1	-0.5	0.3	1	1	1	1	1	3
163	1	-0.7	-0.4	1	1	1	1	1	3
164	1	-0.6	-0.7	2	2	2	1	1	2
165	1	0.5	0.7	2	2	1	1	1	2
166	1	1.1	-0.2	2	2	2	1	1	2
167	1	0.4	1.2	1	2	1	1	2	1
168	1	0.2	0.6	2	2	2	1	1	2
169	1	-0.2	0.6	2	2	2	2	2	1
170	1	0.2	-1.8	2	2	1	1	1	2
171	1	-0.4	-1.2	2	1	1	2	1	3
172	1	-2.4	-1.6	1	2	2	1	1	2
173	1	0.6	0.6	1	1	1	1	1	3
174	1	-1.1	-0.7	2	2	2	1	2	2
175	1	-0.8	-0.9	1	1	1	1	1	3
176	1	1.2	0.5	2	2	2	1	2	2
177	1	-1	-0.2	2	2	2	1	1	2
178	1	-1	0.1	2	2	2	1	1	2
179	1	-1.1	-0.6	1	1	1	1	1	3
180	1	0.2	0.7	1	1	1	1	1	3
181	1	0.1	-0.1	2	2	2	1	1	1
182	1	0.2	-0.6	2	2	2	2	2	1
183	1	0.5	0	2	2	2	1	1	2
184	1	0.3	-0.1	2	2	2	1	1	1
185	1	0.6	0.2	1	1	1	1	2	3
186	1	1.6	0.6	1	1	1	1	1	3
187	1	-0.9	0.1	1	1	1	1	1	3
188	1	0.3	0.4	2	1	2	1	1	2
189	1	-1.5	-1.3	2	2	2	1	1	2
190	1	-2.2	-0.3	1	2	1	1	1	3
191	1	-1.1	-0.2	2	2	2	1	1	2
192	1	-1.8	-0.2	1	1	1	1	1	3
193	1	-0.2	0.1	2	1	2	2	2	1
194	1	2.3	1.4	1	1	1	1	1	3
195	1	-0.4	0.7	1	1	1	1	1	3
196	1	1.3	-0.5	2	2	2	2	1	2
197	1	0.8	0.5	2	1	1	1	2	3
198	1	-0.3	0.2	2	2	2	1	2	2
199	1	-1.3	-0.7	2	2	2	1	1	2
200	1	1	1.2	1	1	1	1	1	3
201	1	-1	-1.9	2	2	2	1	1	2
202	1	0.5	-1.6	1	1	1	1	1	3
203	1	-0.6	-0.3	2	2	2	2	2	1
204	1	-1.3	-1	2	2	2	1	1	2
205	1	0.8	1.5	2	1	1	1	1	3
206	1	0	1.2	1	1	2	1	2	1
207	1	-0.4	-1.4	2	2	2	2	2	1
208	1	-0.6	0.5	2	2	2	1	2	2
209	1	-0.7	0.2	2	2	2	2	2	1
210	1	-0.2	-0.2	1	1	1	1	1	3
211	1	-1.8	0.8	1	1	2	2	1	3
212	1	-0.2	-0.3	2	2	2	1	1	2
213	1	-0.8	-1	2	1	2	2	2	1
214	1	-0.1	-0.2	2	2	2	2	1	1
215	1	-0.3	-0.1	1	1	1	1	1	3
216	1	-0.4	0.2	2	2	2	1	1	2
217	1	0.5	0.2	1	2	2	2	2	1
218	1	0.6	-0.9	1	1	1	1	1	3
219	1	-1.4	-0.4	2	1	2	1	1	2
220	1	0.9	1.7	2	1	1	1	1	3
221	1	-0.8	1.4	1	1	1	1	2	3
222	1	1	-0.9	2	2	2	2	2	1
223	1	0.1	0	2	2	2	1	2	1
224	1	0.3	0	2	1	2	1	2	2
225	1	-0.2	0.9	2	2	2	1	1	2
226	1	-1.1	0.4	1	1	1	1	1	3
227	1	0.3	-1.1	1	1	1	1	1	3
228	1	-2.1	0.4	2	1	2	1	1	2
229	1	-0.9	0.6	2	2	2	2	1	2
230	1	0	0.5	1	2	2	1	1	3
231	1	0.5	1.2	1	2	2	1	1	2
232	1	-1.2	-0.1	1	2	2	1	1	2
233	1	0.6	0.8	2	2	2	2	2	1
234	1	0	0	1	1	1	1	2	3
235	1	-0.2	-0.2	2	2	2	1	1	2
236	1	-0.9	0.2	1	1	1	1	1	3
237	1	0.6	0.9	2	2	2	1	1	2
238	1	-1.5	-0.5	1	1	1	1	1	3
239	1	0.6	0.9	2	2	2	2	2	1
240	1	0.1	1.3	2	2	2	1	1	2
241	1	0.1	0.4	1	2	2	1	1	2
242	1	0.1	-0.4	2	2	2	2	2	1
243	1	0.4	0.8	1	1	1	1	1	3
244	1	0.7	0.5	2	1	2	1	1	2
245	1	0.4	0.8	1	1	1	1	1	3
246	1	1.4	-0.1	1	1	1	1	1	3
247	1	-1.9	0.1	2	2	2	2	2	1
248	1	-0.5	-0.4	2	1	2	1	1	2
249	1	-2.2	-0.7	2	2	2	2	2	1
250	1	0.3	-0.5	2	2	2	1	1	2
251	1	-0.2	0.3	2	2	2	2	2	1
252	1	1.5	1.8	2	2	1	2	2	1
253	1	-0.4	-0.6	1	1	1	1	1	3
254	1	1.2	-0.6	1	1	1	1	1	3
255	1	0.4	0	1	1	2	1	1	3
256	1	-1.2	-0.2	2	1	1	2	1	3
257	1	-0.5	0.1	2	2	2	2	1	1
258	1	-0.3	-0.8	2	2	2	1	1	2
259	1	-0.5	-0.1	2	2	2	2	1	2
260	1	-0.8	-0.3	2	2	2	1	1	2
261	1	-1.1	-1	2	2	2	2	2	1
262	1	-0.4	1.4	1	1	1	1	1	3
263	1	-1.4	-0.4	2	2	2	1	1	2
264	1	1.7	0.7	1	1	1	1	1	3
265	1	1.3	1.5	2	2	2	2	2	1
266	1	-1.3	-0.5	2	2	2	2	2	1
267	1	-0.5	0.2	2	2	2	2	2	1
268	1	0.2	0.1	2	2	2	2	2	1
269	1	1.3	0.7	2	2	2	1	2	2
270	1	-0.4	0.5	2	2	2	1	1	2
271	1	2.7	1.2	2	2	2	1	1	2
272	1	-0.1	-0.4	2	2	2	2	2	1
273	1	0.1	-0.4	1	2	1	1	1	3
274	1	0.1	-1	2	2	2	1	1	2
275	1	0.3	-0.2	1	1	1	1	2	3
276	1	-0.1	-0.2	2	2	2	2	2	1
277	1	1.8	-0.1	1	1	1	1	1	3
278	1	0.2	-0.8	1	1	1	1	2	3
279	1	2.1	0.1	2	2	2	2	1	2
280	1	-0.1	-0.2	1	2	2	2	2	1
281	1	1.6	0.4	1	1	1	1	1	3
282	1	-0.7	-1.1	1	1	1	1	1	3
283	1	1.4	-0.1	1	1	1	1	1	3
284	1	0.2	-0.9	1	1	1	1	1	3
285	1	0	1.7	1	1	2	2	1	3
286	1	-0.1	1.8	1	1	1	1	1	3
287	1	0.4	-0.4	2	2	2	1	1	2
288	1	-0.7	-0.3	2	2	2	1	1	2
289	1	-0.4	0.3	2	2	2	1	2	1
290	1	-2	1.1	1	1	1	1	1	3
291	1	-0.4	-0.3	1	1	1	1	1	3
292	1	1.3	-0.8	2	2	2	1	1	2
293	1	-1.1	1	2	2	2	2	2	1
294	1	-0.4	-1.1	2	2	2	1	1	2
295	1	2	1.7	2	2	2	2	1	1
296	1	-0.9	1.3	1	1	1	1	1	3
297	1	1.6	0.5	1	1	1	1	1	3
298	1	-0.2	-0.7	2	2	2	1	1	2
299	1	-0.7	-0.2	2	2	2	1	1	2
300	1	-0.1	0.4	2	2	2	1	1	2
301	1	1.3	0.9	2	2	2	1	1	2
302	1	-1.5	-0.2	2	2	2	2	2	1
303	1	-0.1	-0.1	1	1	2	2	1	3
304	1	0.8	0.1	2	2	2	1	1	2
305	1	-0.6	0.9	1	1	1	1	1	3
306	1	-0.9	-1	2	1	2	2	2	1
307	1	0.2	0.2	2	1	2	1	1	2
308	1	0	-1	2	2	2	1	1	2
309	1	2.5	-1.2	1	1	2	2	1	3
310	1	0.6	1.4	1	1	1	1	1	3
311	1	1.7	-1.5	1	1	1	1	1	3
312	1	-0.9	0.4	2	1	2	1	1	3
313	1	0.5	0.4	2	2	2	1	2	1
314	1	0.2	-0.7	2	2	2	2	2	1
315	1	-1.7	-0.7	2	2	2	1	1	2
316	1	-0.3	-0.7	2	2	2	2	2	2
317	1	-0.1	-0.1	1	1	1	1	1	3
318	1	0.9	0.5	1	1	1	1	1	3
319	1	-0.2	0.7	2	1	1	1	1	3
320	1	2.3	-0.3	2	1	2	1	2	2
321	1	-0.2	-0.9	2	2	2	1	1	2
322	1	1.4	0.6	2	2	2	1	1	2
323	1	0.9	-0.5	2	2	1	2	2	1
324	1	-2	0.4	2	2	1	2	2	1
325	1	-1.3	-1.1	1	1	1	1	1	3
326	1	0.4	0.7	1	1	1	1	2	3
327	1	0.4	0.9	1	1	1	1	1	3
328	1	-0.1	0.2	2	1	1	1	2	3
329	1	0	-0.2	1	1	2	1	1	3
330	1	-0.9	-0.5	1	1	1	1	1	3
331	1	0.5	-0.5	1	1	1	1	1	3
332	1	-1.4	-1.4	2	1	1	1	1	3
333	1	-0.1	0.7	2	2	2	1	1	2
334	1	0.6	-0.4	1	1	1	1	1	3
335	1	-0.3	-0.1	2	2	2	2	2	1
336	1	0.1	0	2	1	2	2	2	1
337	1	0.6	0.9	2	2	2	2	2	1
338	1	-1.1	0.8	2	1	2	1	1	2
339	1	0.7	-0.6	1	2	1	2	1	3
340	1	-0.7	-1.3	2	1	1	1	1	3
341	1	-0.8	0.5	2	2	2	2	2	1
342	1	-0.8	-1.4	2	1	1	1	1	3
343	1	0.6	0.2	2	2	2	1	2	2
344	1	1.6	0.5	2	2	1	2	2	1
345	1	0	0.2	2	1	2	2	2	1
346	1	0.8	-1	2	2	2	2	1	1
347	1	1.2	2.5	2	2	2	1	1	2
348	1	1.3	0.6	2	1	2	1	1	2
349	1	-0.1	-0.7	1	1	1	1	2	3
350	1	1	-0.6	2	2	2	1	1	2
351	1	-0.5	1.2	1	1	1	2	1	3
352	1	-1.1	-0.2	2	2	2	1	1	2
353	1	1.7	2	1	1	1	1	1	3
354	1	-1.3	-1.6	2	2	2	2	1	2
355	1	-3	-1.8	2	2	2	2	2	1
356	1	0.4	0.6	1	1	1	1	1	3
357	1	-0.9	-0.7	1	1	1	1	1	3
358	1	-0.2	0	2	2	2	1	1	2
359	1	1.2	1.4	2	2	2	1	1	2
360	1	-0.4	-0.4	1	1	1	1	1	3
361	1	0.6	0.5	2	2	2	1	1	2
362	1	-2	0.6	2	2	2	2	2	1
363	1	0.3	0.9	2	2	2	1	2	1
364	1	-0.2	-0.1	2	1	2	1	1	2
365	1	0.4	0.6	2	1	2	2	1	2
366	1	-1.4	0.7	2	1	2	1	1	2
367	1	-1.1	0.4	2	1	1	1	1	2
368	1	-0.1	-0.1	1	2	2	2	2	1
369	1	1.1	0.2	2	2	2	1	2	2
370	1	-1.3	0	1	1	1	1	1	3
371	1	1.4	-0.5	2	2	2	2	2	1
372	1	0.1	0.6	2	1	2	2	2	1
373	1	-0.8	-1.8	2	2	2	2	2	1
374	1	-0.7	-0.3	2	2	2	1	1	2
375	1	-0.1	0.4	2	2	2	1	1	2
376	1	0.6	-0.3	2	2	2	2	2	1
377	1	0.3	-0.1	2	2	2	1	1	2
378	1	-1.6	-0.7	2	2	1	1	1	3
379	1	0.9	0.5	2	2	2	1	1	2
380	1	-0.3	0.1	2	2	2	1	1	2
381	1	-0.4	0.2	1	1	1	1	1	3
382	1	1.7	1.5	1	1	1	1	2	3
383	1	0.8	-0.2	2	2	2	2	2	1
384	1	-1.4	-0.8	1	1	1	1	1	3
385	1	0.7	-0.2	2	2	2	1	1	2
386	1	-1	0.6	2	2	2	2	2	1
387	1	0.6	0.7	2	1	2	2	2	1
388	1	2.9	0.3	2	2	2	2	2	1
389	1	0.8	-0.2	1	1	1	1	1	3
390	1	-1	-0.6	2	2	1	1	1	2
391	1	-1.2	0.2	1	1	1	2	2	3
392	1	1.6	1.1	2	2	2	1	1	2
393	1	0.4	-0.3	1	1	1	1	1	3
394	1	-0.3	0.4	1	1	1	1	1	3
395	1	-2.5	0.8	2	2	1	1	1	2
396	1	0.6	0.2	2	2	2	1	2	1
397	1	-1.3	-0.9	1	2	1	1	1	3
398	1	0.2	2.2	2	2	2	2	1	2
399	1	0.5	-0.1	2	2	2	1	1	2
400	1	-0.4	0.9	1	1	1	1	1	3
401	1	0.4	0.1	1	1	1	1	1	3
402	1	1	0.3	2	1	2	2	2	1
403	1	-1.6	-0.3	2	2	2	2	2	1
404	1	-1.2	-0.7	2	2	2	1	1	2
405	1	-0.3	0.1	2	2	2	1	2	1
406	1	-0.5	0.6	2	2	1	2	2	1
407	1	0.6	1.1	2	2	2	1	1	2
408	1	-0.8	0.1	2	2	2	1	2	1
409	1	-0.1	0.1	2	2	2	2	2	1
410	1	0.5	0.2	2	2	2	1	2	2
411	1	0.1	0	2	1	2	1	1	2
412	1	-1.9	-0.8	2	2	2	1	1	2
413	1	0.3	-0.2	1	1	1	1	2	3
414	1	-0.1	-1.2	2	2	2	2	2	1
415	1	0	-0.3	2	2	1	1	1	2
416	1	0.3	-0.1	2	2	2	1	1	2
417	1	-0.9	0	1	2	2	2	1	3
418	1	-0.5	-0.7	2	2	2	2	1	1
419	1	-1	0.3	1	1	1	1	1	3
420	1	0.2	0.3	1	1	2	1	1	3
421	1	0.6	1	2	2	2	1	1	2
422	1	2.1	-0.3	2	2	2	1	1	2
423	1	-0.2	0.1	2	1	1	1	1	3
424	1	1.3	0.2	2	2	2	1	1	2
425	1	-1.9	-0.5	2	2	2	2	2	1
426	1	1.3	0	2	2	2	1	1	2
427	1	0.6	-0.8	2	2	2	2	2	1
428	1	1	0.8	1	2	1	1	1	3
429	1	2.8	1.1	2	2	1	2	2	1
430	1	-1.8	-0.4	2	2	2	1	1	2
431	1	0.6	1.4	2	2	2	1	1	2
432	1	-0.3	0.2	1	2	2	1	1	3
433	1	0.8	-0.2	2	1	2	2	2	1
434	1	1.5	-0.1	2	2	2	2	2	1
435	1	-1	1.4	1	1	2	2	2	1
436	1	-1.2	0.9	2	2	2	1	2	1
437	1	-0.1	0.2	1	2	2	2	2	1
438	1	0.5	-0.3	2	2	2	1	2	2
439	1	-1.3	-1	2	2	2	2	2	1
440	1	0.2	0.7	2	2	2	2	2	1
441	1	0.9	0.1	1	1	1	1	1	3
442	1	0.1	0	2	2	2	2	2	1
443	1	-0.9	-1.2	1	2	1	1	1	3
444	1	1.1	1.3	2	2	2	2	2	1
445	1	1	2	2	1	2	2	2	1
446	1	-1.4	-0.3	2	2	2	1	1	2
447	1	-0.4	-0.6	1	1	1	1	1	3
448	1	0.7	0.1	1	1	1	2	2	3
449	1	-0.5	0.2	2	2	2	1	1	2
450	1	0.7	0.9	1	2	2	1	1	3
451	1	-0.9	-0.3	1	1	1	1	1	3
452	1	-1.1	0.6	2	2	2	2	1	2
453	1	0.4	0.4	1	2	1	1	1	3
454	1	0.4	-0.6	1	1	1	1	1	3
455	1	-0.4	0.2	2	2	2	2	2	1
456	1	0.2	-0.3	2	2	2	1	1	2
457	1	-1.4	0.5	1	1	1	1	1	3
458	1	0.5	-0.6	2	2	2	1	1	2
459	1	-2.2	0	1	1	1	1	1	3
460	1	0.8	-0.2	2	2	2	2	2	1
461	1	0.5	0.6	2	2	2	2	2	1
462	1	1.2	0.4	2	2	2	2	2	1
463	1	0.8	0.3	2	2	1	2	1	2
464	1	-0.7	0.8	1	1	1	1	1	3
465	1	1.2	-0.8	2	2	2	1	1	2
466	1	-1.8	0.6	2	2	2	2	2	1
467	1	1.3	0.5	2	2	2	1	1	2
468	1	-0.8	1.1	2	2	2	2	2	1
469	1	-1.5	-0.2	2	2	2	2	2	1
470	1	-0.2	0.1	1	1	1	1	1	3
471	1	-0.2	-0.1	1	2	1	1	1	3
472	1	-0.8	-0.9	2	2	2	1	1	2
473	1	-0.2	0.2	1	1	1	1	1	3
474	1	-1.2	0.2	2	2	2	2	2	1
475	1	-0.2	0.5	2	2	2	2	2	1
476	1	0.9	0.2	1	1	1	1	1	3
477	1	-0.2	1.6	2	2	2	2	2	1
478	1	0	0.2	2	2	2	1	1	2
479	1	-2.3	-0.1	2	2	2	2	2	1
480	1	-0.5	0.2	2	2	1	1	1	2
481	1	0.3	0	2	2	2	2	2	1
482	1	1.1	0.5	1	1	1	1	1	3
483	1	-0.5	0.8	2	2	2	1	2	2
484	1	-0.8	-0.5	2	2	2	1	1	2
485	1	1.5	-0.8	2	1	2	2	2	1
486	1	-1.2	-0.1	2	2	2	2	2	1
487	1	-0.2	-0.3	2	2	2	2	2	1
488	1	-1.2	0.7	2	2	2	1	1	2
489	1	3.3	-0.7	2	2	1	2	1	2
490	1	-0.6	-0.6	2	2	2	1	1	2
491	1	-1.6	-1.7	2	2	2	2	2	1
492	1	1.5	-0.7	1	1	2	1	1	3
493	1	0	-0.9	2	2	2	1	1	2
494	1	0.6	0.4	2	2	2	2	2	1
495	1	-0.4	-1.3	1	1	1	1	1	3
496	1	-0.9	-0.9	1	2	1	1	2	3
497	1	-1	-1.8	2	2	2	2	2	1
498	1	-1.2	-0.5	1	1	1	1	1	3
499	1	-0.8	-1.6	2	2	2	2	2	1
500	1	-1.1	-1.1	2	1	2	1	1	1
501	1	-0.6	-1.5	2	2	2	2	2	1
502	1	0	1.1	2	2	2	1	1	2
503	1	-1.5	0	2	2	2	2	2	1
504	1	-0.4	-0.6	2	2	2	2	1	1
505	1	0.2	-1.5	2	2	2	1	1	2
506	1	1	0.6	2	2	2	1	1	2
507	1	0.6	-1.6	2	2	2	1	2	1
508	1	-2.2	-0.2	1	2	2	2	2	1
509	1	0.2	-0.3	1	1	1	2	1	3
510	1	1	1.3	2	1	2	1	1	2
511	1	0.1	-1.5	2	2	2	1	1	2
512	1	-1.4	0.4	1	1	1	1	1	3
513	1	1.1	1.4	1	2	1	1	1	3
514	1	1.3	1.3	2	2	2	1	1	2
515	1	-0.6	-0.8	1	2	2	2	2	1
516	1	-0.6	1.2	2	2	2	2	2	1
517	1	-0.4	-1.3	1	1	1	1	1	3
518	1	-1.1	-1.2	2	2	2	2	2	1
519	1	0.4	-0.1	1	1	1	1	1	3
520	1	-0.9	-0.3	1	1	1	1	1	3
521	1	-0.2	1.6	2	2	2	1	1	2
522	1	-0.3	0.9	1	1	1	1	1	3
523	1	-0.9	-1	2	2	2	2	2	1
524	1	-0.7	-0.5	2	2	1	1	1	2
525	1	1.2	-1.1	2	2	2	2	2	1
526	1	-0.7	0.3	1	2	1	1	1	3
527	1	-0.6	0.4	1	1	1	2	1	3
528	1	-0.1	-0.6	2	1	2	2	2	1
529	1	-0.9	1.3	2	2	1	2	2	1
530	1	-1	-0.7	2	2	2	2	2	1
531	1	-0.6	0.4	2	2	2	2	2	1
532	1	-0.2	-1.1	2	2	2	1	1	2
533	1	1	1.3	2	2	2	1	1	1
534	1	-1.2	-0.9	2	2	2	2	2	1
535	1	0.7	1.1	2	2	2	1	1	2
536	1	-0.4	-0.2	2	1	2	1	1	3
537	1	-1.4	-0.7	2	2	2	2	1	2
538	1	-0.6	0.1	1	1	1	1	1	3
539	1	-0.8	1.1	2	2	2	2	2	1
540	1	-1	-0.8	1	1	1	1	1	3
541	1	-0.6	-0.3	2	2	2	1	1	2
542	1	-3.2	-0.2	1	1	1	1	1	3
543	1	-0.7	0.6	1	1	1	1	1	3
544	1	0.9	1.8	2	2	2	2	1	1
545	1	0.8	0.2	2	2	2	2	2	1
546	1	0.9	1.2	1	1	1	1	1	3
547	1	-0.3	0.7	2	2	2	1	2	2
548	1	-0.1	-2.4	2	2	2	1	1	2
549	1	-1.4	-0.4	2	2	2	1	1	2
550	1	0.8	0.2	2	2	2	2	2	1
551	1	0.5	-0.5	2	2	2	1	1	2
552	1	0.1	0.4	1	2	1	1	1	3
553	1	0.1	-0.5	2	2	2	1	1	2
554	1	-0.1	-1.3	2	2	2	1	2	2
555	1	-0.4	-0.3	2	2	1	2	2	1
556	1	0.5	-0.3	1	1	1	1	1	3
557	1	-0.3	-1.2	2	2	2	2	2	1
558	1	-0.6	-1.1	1	2	2	1	2	2
559	1	0.1	-0.1	1	1	1	2	2	3
560	1	1.6	0.4	2	2	2	2	2	1
561	1	0.7	0.9	2	2	1	1	1	2
562	1	-1.3	-1	1	1	1	1	1	3
563	1	0.2	-0.2	2	2	2	1	1	2
564	1	-1.1	-0.4	2	2	2	2	2	1
