id	X0	X1	X2	G	I1	I2	I3	I4	I5	trueclass
71	1	0.9	0.4	3	2	2	2	1	1	2
72	1	-0.9	1.3	1	2	2	2	1	1	2
73	1	-0.1	-0.6	2	2	2	2	2	2	1
74	1	-0.9	0.2	2	1	1	1	1	1	3
75	1	0.1	0.4	1	1	1	1	2	1	3
76	1	-0.6	-0.8	1	2	2	2	2	1	1
77	1	0.3	1.1	1	2	2	1	1	1	2
78	1	0.3	-0.6	3	2	2	2	1	1	2
79	1	1.6	1.6	2	2	2	1	2	1	1
80	1	-2.4	0.4	1	2	2	2	2	2	1
81	1	1	-0.5	3	2	2	2	1	2	2
82	1	0.6	-0.2	1	2	1	2	2	2	1
83	1	-1.4	-0.3	3	2	2	2	2	1	1
84	1	0.6	-0.1	3	2	2	1	2	2	1
85	1	-1.4	-0.2	2	2	2	2	2	2	1
86	1	1.1	0.4	1	1	1	1	1	1	3
87	1	-0.9	-0.7	1	2	2	2	2	2	1
88	1	0.3	-1.3	1	1	1	1	1	1	3
89	1	1.2	-0.6	3	2	2	2	1	1	2
90	1	0.5	0.3	1	2	2	2	2	1	1
91	1	0.8	-0.6	2	2	2	2	2	2	1
92	1	0.4	-0.8	1	2	2	2	1	1	2
93	1	-0.7	-1	2	2	2	2	1	1	2
94	1	0.6	0.7	3	1	1	1	1	1	3
95	1	-2	-0.9	1	2	1	2	2	2	1
96	1	0.1	0.3	2	1	1	1	1	1	3
97	1	-1	-0.7	3	2	2	2	2	2	1
98	1	0	0.4	3	1	1	1	1	1	3
99	1	1.4	-1.1	3	1	1	1	1	1	3
100	1	0.1	1.4	2	1	1	1	1	2	3
101	1	-1.7	-0.5	3	2	2	2	1	1	2
102	1	-0.8	-0.5	3	1	1	1	1	1	3
103	1	-0.4	1.1	2	2	1	1	1	1	2
104	1	0.7	0.2	3	1	2	2	1	2	2
105	1	-1	-0.9	2	1	1	1	1	1	3
106	1	-0.4	-0.7	2	2	1	1	1	1	3
107	1	-0.2	-1.3	3	2	2	2	2	2	1
108	1	-1.3	-1.3	3	2	2	2	1	1	2
109	1	1.3	0.2	1	2	1	1	2	2	1
110	1	-0.1	-0.2	1	2	2	2	1	1	2
111	1	1.8	-0.1	1	2	2	1	2	2	1
112	1	-1.2	-1.2	2	2	2	2	2	2	1
113	1	0.4	-0.7	3	2	1	2	2	2	1
114	1	-1.7	-1.1	3	2	1	1	1	1	3
115	1	0.2	0.8	1	1	1	1	1	1	3
116	1	1.2	0.7	3	2	2	2	2	2	1
117	1	0.1	1.2	2	2	1	1	1	1	3
118	1	-1	-0.9	1	2	2	2	2	2	1
119	1	0.1	-0.4	2	2	2	2	2	2	1
120	1	-0.4	0.7	1	2	2	2	2	2	1
121	1	-0.9	0.6	2	1	1	1	1	1	3
122	1	1.4	0.6	1	2	2	2	2	2	1
123	1	-1.4	-0.9	3	1	2	2	1	1	3
124	1	-3.4	-0.7	3	1	2	1	1	1	3
125	1	0	-1.9	3	1	1	2	1	1	3
126	1	-0.4	-0.5	1	2	2	2	2	2	1
127	1	1.2	0.5	2	1	1	1	1	1	3
128	1	-2.2	0.8	1	2	2	2	2	2	1
129	1	-0.7	-2.1	2	1	1	1	1	2	3
130	1	-1	-1	3	2	2	2	1	1	2
131	1	-1.5	-0.3	1	1	1	1	1	1	3
132	1	1	-0.4	2	1	1	1	1	1	3
133	1	1.7	-0.5	1	2	2	2	1	2	1
134	1	1.8	-1	2	2	2	2	2	2	1
135	1	-2	0	2	1	2	2	2	1	2
136	1	0.2	0.1	1	2	2	2	1	1	2
137	1	0.5	-1	2	2	2	2	1	2	1
138	1	-0.4	-0.2	2	2	2	2	1	1	2
139	1	1.1	0.7	1	1	2	2	2	1	2
140	1	0.2	0.6	2	1	2	2	1	2	2
141	1	-0.6	-0.7	1	2	2	2	2	2	1
142	1	0.9	-1	1	2	2	2	1	1	2
143	1	0.8	1.4	3	2	2	2	1	1	2
144	1	-0.2	-0.5	2	1	1	1	1	2	3
145	1	-0.8	-1.4	1	1	1	1	1	1	3
146	1	1.1	-0.9	1	1	1	1	1	1	3
147	1	0.9	0.5	3	1	1	2	1	1	2
148	1	1.5	0.7	2	2	2	2	1	1	2
149	1	-0.9	1.4	3	1	1	1	1	1	3
150	1	0.8	-0.3	1	1	1	1	1	1	3
151	1	1.5	0.2	2	2	2	2	2	2	1
152	1	0.4	0	3	2	1	1	1	2	3
153	1	1.5	-0.9	1	2	2	1	1	1	2
154	1	-1.8	0.8	3	1	1	1	1	1	3
155	1	0.7	1.7	1	2	2	2	2	2	1
156	1	0.1	-0.6	2	2	2	2	1	1	2
157	1	0	-0.5	3	2	2	2	2	2	1
158	1	-0.5	2.2	2	2	2	2	1	1	2
159	1	1.7	-0.3	3	1	1	1	1	1	3
160	1	-1.2	0.1	1	2	2	2	2	2	1
161	1	-0.6	-0.3	2	2	2	2	1	1	2
162	1	-0.8	0.4	1	1	1	1	1	1	3
163	1	0.6	0.6	3	1	1	1	1	1	3
164	1	-0.3	0.5	2	2	2	2	1	1	2
165	1	-0.9	-0.7	3	2	2	2	1	1	2
166	1	1.8	1	2	2	2	1	1	1	2
167	1	2.3	1.7	3	2	2	2	2	2	1
168	1	0.1	-1.1	2	2	2	2	2	2	2
169	1	-0.2	0.6	1	2	2	2	2	2	1
170	1	-0.7	-0.3	1	2	1	2	1	2	2
171	1	-0.4	-0.4	1	1	1	1	1	1	3
172	1	-1	-0.9	3	2	2	2	1	1	2
173	1	0.9	0.8	1	1	1	1	1	1	3
174	1	0.8	1	1	2	2	1	1	2	2
175	1	0.8	1.4	1	1	1	1	1	1	3
176	1	0.8	-0.8	3	2	2	2	1	2	2
177	1	1.6	0.8	1	2	2	2	1	1	2
178	1	0	-0.3	1	1	2	2	1	1	2
179	1	-0.3	-1.1	2	1	1	1	1	1	3
180	1	-0.4	-2	1	1	1	1	1	1	3
181	1	-0.5	-1.5	3	1	2	2	2	2	1
182	1	-0.4	-0.1	1	1	2	2	2	2	1
183	1	-1.4	-0.9	3	2	2	1	1	1	2
184	1	-0.1	-0.5	3	2	2	2	2	2	1
185	1	-1	-0.2	1	1	1	1	1	1	3
186	1	1.8	-1.7	2	1	1	1	1	1	3
187	1	0.3	0.4	3	1	1	1	1	1	3
188	1	0.4	0.5	3	2	2	2	1	1	2
189	1	-0.6	0.8	1	2	2	2	1	1	2
190	1	-0.8	-0.4	2	1	1	1	1	1	3
191	1	-1.2	-1	3	2	2	2	1	1	2
192	1	1.1	0.6	3	1	1	1	1	2	3
193	1	0.2	-1.1	2	2	2	2	2	2	1
194	1	-1.4	-0.5	2	1	1	1	1	1	3
195	1	-0.6	0.3	3	1	1	1	1	1	3
196	1	-0.4	0.5	3	2	2	1	1	1	2
197	1	-0.3	-1.8	3	1	1	1	1	1	3
198	1	0.6	-0.1	3	2	2	2	1	1	2
199	1	0.8	0.5	2	2	2	2	1	1	2
200	1	-1	-0.3	2	1	1	1	1	1	3
201	1	-0.2	-2.2	3	2	2	2	1	1	2
202	1	0.8	0.3	3	2	1	1	1	1	3
203	1	0	-0.2	2	2	2	2	1	2	1
204	1	-0.2	0.2	3	2	1	2	1	1	2
205	1	-2	0.5	1	1	1	2	1	1	3
206	1	0.9	-0.4	3	2	2	2	1	2	1
207	1	-0.3	-1.4	2	1	2	2	2	1	1
208	1	0.4	-0.1	1	2	2	2	1	1	2
209	1	0.1	0.2	2	2	2	2	1	2	1
210	1	-1	0.1	1	1	1	2	1	1	3
211	1	0.2	2	3	1	1	1	1	1	3
212	1	0.1	1.2	1	1	2	2	1	1	2
213	1	-0.3	-1.4	2	2	2	2	2	2	1
214	1	0.3	-0.7	2	2	1	2	2	2	1
215	1	1	0.6	3	2	1	1	1	1	3
216	1	-0.7	-1.5	2	2	2	1	1	1	2
217	1	0.1	-0.3	1	2	2	1	2	2	1
218	1	0.6	0.2	3	2	1	1	1	1	3
219	1	-0.7	-0.6	1	2	2	2	1	1	2
220	1	-0.3	0.3	3	1	2	1	1	1	3
221	1	-3	0.2	1	1	1	1	1	1	3
222	1	0.1	0.2	1	1	2	1	2	2	1
223	1	0.3	-0.9	2	2	2	2	2	2	1
224	1	0.1	0.7	2	2	2	2	1	1	2
225	1	0.9	1.3	3	2	2	2	2	2	2
226	1	0.5	0.4	3	1	1	1	1	1	3
227	1	1	0.1	3	1	1	1	1	1	3
228	1	-0.4	-0.6	1	2	2	2	1	1	2
229	1	-1.7	1.3	2	2	2	1	2	1	2
230	1	-0.2	-1.1	2	1	1	1	1	1	3
231	1	-0.8	-0.2	3	2	1	2	1	1	2
232	1	0	-0.2	1	1	2	2	1	1	2
233	1	0.1	0.3	3	2	2	2	2	2	1
234	1	-0.5	-0.4	1	1	2	1	1	1	3
235	1	1.4	-0.3	3	2	1	2	1	1	2
236	1	0.1	0.5	1	1	1	1	1	1	3
237	1	0.4	0	3	2	2	2	1	1	2
238	1	-0.1	0.7	2	2	1	1	1	1	3
239	1	0.4	-0.7	3	2	2	1	2	2	1
240	1	-1.9	0.7	2	2	2	2	1	1	2
241	1	-0.2	-0.3	2	2	2	2	2	1	2
242	1	0.4	-1.1	1	2	2	2	2	2	1
243	1	0.8	1.2	3	1	1	1	1	1	3
244	1	1.5	-0.5	3	2	2	2	1	1	2
245	1	0.7	0.7	2	1	1	1	1	1	3
246	1	0.1	1.6	2	1	1	1	1	1	3
247	1	-0.4	-1.3	3	2	2	1	2	2	1
248	1	0.9	-0.3	2	2	2	2	1	1	2
249	1	0.3	-0.1	1	2	2	2	2	2	1
250	1	-1.3	-0.6	2	2	2	2	1	1	2
251	1	-0.7	0.6	1	2	2	1	2	2	1
252	1	-1.6	-0.2	2	2	2	2	2	2	1
253	1	1.4	0.7	2	2	1	1	1	2	3
254	1	0.7	-0.1	1	1	1	1	1	1	3
255	1	0.5	-0.1	1	1	1	1	1	1	3
256	1	-0.6	-1.2	1	1	1	1	1	2	3
257	1	0.8	0	2	2	2	2	2	2	1
258	1	-0.2	0.1	1	2	2	2	1	1	2
259	1	1.1	-0.4	2	2	2	2	1	1	2
260	1	1.5	0.6	1	2	2	2	2	1	2
261	1	1	1.2	3	2	2	2	2	2	1
262	1	0.8	1.5	3	1	2	1	1	1	3
263	1	1.6	0.9	2	1	2	2	1	2	2
264	1	-0.9	-0.9	3	1	2	2	1	1	3
265	1	0.2	0.1	3	2	1	2	2	1	1
266	1	-0.7	0.3	2	2	2	1	1	2	1
267	1	0.3	0.6	3	2	2	2	2	2	1
268	1	-1	0.1	3	2	2	2	1	2	1
269	1	-2.4	-0.3	1	2	2	2	1	1	2
270	1	-0.8	-2.3	2	2	2	2	1	1	2
271	1	0.2	-0.9	3	2	2	2	1	1	2
272	1	1.1	1.8	3	1	2	2	2	2	1
273	1	-0.4	-0.1	2	1	2	2	1	1	3
274	1	-1.1	0.3	2	2	2	2	1	1	2
275	1	2.1	-0.7	2	1	1	1	1	2	3
276	1	-0.3	-0.1	3	2	2	2	2	2	1
277	1	-1	-0.8	2	1	1	1	1	1	3
278	1	1.1	0.9	1	1	1	1	1	1	3
279	1	-0.7	-0.5	1	2	2	1	1	1	2
280	1	1.2	-1	1	2	1	2	2	2	1
281	1	0.3	-0.2	3	1	1	1	1	1	3
282	1	0.6	1.6	2	1	1	1	1	2	3
283	1	-0.9	0.3	1	1	1	1	1	1	3
284	1	0	1	2	1	1	2	1	1	3
285	1	0.2	1.2	2	1	1	1	1	2	3
286	1	1.3	-0.2	3	1	1	1	1	2	3
287	1	-0.6	0.3	1	2	2	2	2	1	2
288	1	0.8	1.1	2	2	2	2	1	1	2
289	1	-0.4	-0.9	3	2	1	2	2	2	1
290	1	0.1	-1.2	1	1	1	1	1	1	3
291	1	-0.4	0.9	1	1	1	1	1	1	3
292	1	1.9	1	2	2	2	2	1	1	2
293	1	0.2	0.1	2	2	2	2	2	2	1
294	1	-1.7	-1.3	3	1	2	2	1	1	2
295	1	1	0.2	2	2	2	2	2	2	1
296	1	-0.5	-0.5	3	1	1	1	1	1	3
297	1	-0.1	-0.1	1	1	1	1	1	1	3
298	1	-1.3	0.1	1	2	2	2	1	1	2
299	1	1.4	0.1	1	2	2	2	1	1	2
300	1	0.6	-0.1	1	2	2	2	1	1	2
